Transaction_ID,Date,Time,Sender,Receiver,Amount,Fraudulent
T00049,2024-02-28,19:59:12,+260977235155,+260950439799,1189.28,No
T00050,2024-05-26,03:09:17,+260956005640,+260940553467,4334.74,No
T00051,2024-05-05,23:46:26,+260966808432,+260966677937,3862.56,No
T00052,2024-01-29,15:24:50,+260919244717,+260914404731,797.18,No
T00053,2024-03-19,05:40:39,+260987961004,+260974004192,4525.26,No
T00054,2024-04-07,14:19:02,+260950856944,+260973817970,4813.42,No
T00055,2024-03-25,15:55:10,+260999577085,+260924772802,2141.81,No
T00056,2024-07-07,07:22:21,+260925682179,+260932108165,1395.5,No
T00057,2024-01-23,06:32:04,+260986740744,+260967823020,2363.88,No
T00058,2024-02-15,13:09:51,+260946622929,+260955122424,3613.47,No
T00059,2024-05-11,15:08:52,+260933150169,+260958346388,484.78,No
T00060,2024-02-29,07:42:10,+260920675990,+260983642253,3463.43,No
T00061,2024-01-18,01:28:47,+260950460728,+260938755056,4673.12,No
T00062,2024-05-08,07:51:33,+260984029705,+260965485039,4955.55,No
T00063,2024-06-29,17:25:03,+260989705885,+260942794740,971.89,No
T00064,2024-04-25,16:20:09,+260971277646,+260971969679,1059.29,No
T00065,2024-05-10,12:56:35,+260941738995,+260910413106,2688.33,No
T00066,2024-01-10,12:55:04,+260922553769,+260992979794,2491.27,No
T00067,2024-06-06,06:30:10,+260990112612,+260959028995,4679.51,No
T00068,2024-04-06,20:37:16,+260973735040,+260926172498,3824.9,No
T00069,2024-06-28,10:36:39,+260986613743,+260952770376,2152.62,No
T00070,2024-05-16,21:17:35,+260979626186,+260911929873,3597.47,No
T00071,2024-06-27,11:48:12,+260933012774,+260965952655,4782.21,No
T00072,2024-07-17,02:42:34,+260991262181,+260983801675,2875.03,No
T00073,2024-04-16,15:34:15,+260927704769,+260949225951,4438.52,No
T00074,2024-07-02,00:53:26,+260970466429,+260950338099,4271.56,No
T00075,2024-06-10,08:11:00,+260930016169,+260932973115,4855.64,No
T00076,2024-07-19,06:40:19,+260984768207,+260948787693,2629.38,No
T00077,2024-06-02,08:45:51,+260956298417,+260958616098,4063.65,No
T00078,2024-02-05,01:29:55,+260950197536,+260987225430,3872.98,No
T00079,2024-06-11,12:29:52,+260947530257,+260910089728,2182.0,No
T00080,2024-06-09,08:37:00,+260977100926,+260954777332,4638.13,No
T00081,2024-05-29,17:48:57,+260982552344,+260979488287,4473.03,No
T00082,2024-03-02,05:29:46,+260938365820,+260961966832,3895.02,No
T00083,2024-04-06,01:48:52,+260926152779,+260956515747,4551.32,No
T00084,2024-04-10,05:25:44,+260999727955,+260915146591,987.82,No
T00085,2024-06-27,07:20:24,+260914646332,+260948244134,2500.85,No
T00086,2024-04-17,22:32:57,+260992231545,+260937118871,3307.75,No
T00087,2024-06-27,01:36:15,+260957978340,+260913317608,2864.51,No
T00088,2024-06-21,18:13:44,+260942560414,+260919210074,912.52,No
T00089,2024-03-14,07:42:47,+260953635546,+260938351277,3856.79,No
T00090,2024-02-17,14:20:07,+260918857673,+260910305029,4765.22,No
T00091,2024-04-28,18:21:53,+260938863771,+260926085770,238.95,No
T00092,2024-05-18,22:24:10,+260988675106,+260989442726,4130.52,No
T00093,2024-02-06,02:12:42,+260991117094,+260941006084,4297.99,No
T00094,2024-02-05,15:57:13,+260926212546,+260944914645,4909.14,No
T00095,2024-05-13,09:42:01,+260958868799,+260969525517,3245.78,No
T00096,2024-02-10,15:01:52,+260921542686,+260947306522,2294.79,No
T00097,2024-06-29,20:16:22,+260992204453,+260938970665,2113.05,No
T00098,2024-06-19,10:17:43,+260994913316,+260998668015,3449.11,No
T00099,2024-04-03,08:33:39,+260990747599,+260911424282,2357.52,No
T00100,2024-04-29,23:00:31,+260933626177,+260957056009,4926.43,No
