Transaction_ID,Date,Time,Sender,Receiver,Amount,Transaction_Type,Location,Merchant_ID,Device_ID,Fraudulent
T00026,2024-01-17,04:49:02,260948417785,260942544338,3644.55,Transfer,Livingstone,M7416,D6090,No
T00027,2024-06-21,12:47:23,260999425974,260979605359,2363.39,Deposit,Ndola,M3440,D6048,No
T00028,2024-03-04,07:38:01,260917885824,260957892157,2220.22,Withdrawal,Lusaka,M3048,D9971,No
T00029,2024-06-05,22:48:39,260929363532,260921416072,632.61,Transfer,Ndola,M5764,D1258,No
T00030,2024-02-23,07:08:49,260927649118,260951580821,3974.16,Transfer,Livingstone,M9603,D5302,No
T00031,2024-04-19,13:22:28,260934457592,260968576001,433.73,Withdrawal,Livingstone,M5122,D2602,No
T00032,2024-03-31,00:58:13,260965141696,260937091233,1914.96,Transfer,Kitwe,M4753,D7956,No
T00033,2024-02-03,00:19:19,260933499059,260992598154,4766.04,Transfer,Kitwe,M2768,D6196,No
T00034,2024-02-12,21:32:19,260990693172,260991143989,2571.46,Transfer,Kitwe,M7250,D5922,No
T00035,2024-06-22,14:41:07,260917641766,260995873124,1483.13,Transfer,Livingstone,M8534,D1293,No
T00036,2024-02-26,23:39:44,260923526875,260973764730,1841.29,Transfer,Lusaka,M5149,D2797,No
T00037,2024-06-02,01:54:32,260996420221,260917498927,423.59,Withdrawal,Kitwe,M5381,D5345,No
T00038,2024-03-12,06:57:58,260968434031,260964993635,1988.56,Withdrawal,Ndola,M3787,D3398,No
T00039,2024-04-12,13:02:28,260958066638,260936411718,115.68,Withdrawal,Ndola,M8723,D1504,No
T00040,2024-04-15,00:27:09,260952375553,260914290321,2740.82,Transfer,Lusaka,M2903,D5267,No
T00041,2024-06-11,19:24:16,260942665987,260914177920,3895.97,Withdrawal,Livingstone,M5550,D8580,No
T00042,2024-06-14,21:33:37,260945709279,260932348250,2993.67,Withdrawal,Kitwe,M2861,D5372,No
T00043,2024-05-13,09:51:43,260989344866,260982586869,148.02,Transfer,Livingstone,M5752,D6009,No
T00044,2024-02-06,15:23:51,260911492629,260943870983,3053.53,Deposit,Lusaka,M3105,D6326,No
T00045,2024-07-06,08:37:06,260941150946,260974110880,794.82,Withdrawal,Ndola,M5218,D7440,No
T00046,2024-02-28,23:28:27,260988731522,260959579771,585.8,Transfer,Ndola,M8957,D8565,No
T00047,2024-02-02,03:10:34,260960083482,260999025613,3002.37,Withdrawal,Ndola,M3866,D9483,No
T00048,2024-03-28,12:25:26,260939582474,260952925806,2912.19,Transfer,Lusaka,M9564,D5156,No
T00049,2024-01-26,06:36:25,260980740258,260976188214,981.66,Withdrawal,Lusaka,M7656,D6820,No
T00050,2024-06-27,06:15:23,260957648245,260951329298,387.34,Withdrawal,Livingstone,M9767,D6967,No
T00051,2024-03-17,15:51:27,260922327662,260938788172,274.33,Withdrawal,Lusaka,M2292,D2470,No
T00052,2024-07-04,11:37:59,260952149684,260967756742,1217.94,Deposit,Livingstone,M8529,D6274,No
T00053,2024-01-23,12:29:41,260980548809,260964999521,105.6,Withdrawal,Kitwe,M8552,D8204,No
T00054,2024-04-27,12:36:49,260944081336,260912927169,3225.51,Deposit,Livingstone,M6057,D8245,No
T00055,2024-04-13,17:05:02,260941830666,260941437802,65.21,Deposit,Lusaka,M8717,D7958,No
T00056,2024-02-12,12:10:30,260942090693,260922660284,1871.03,Deposit,Livingstone,M3729,D5623,No
T00057,2024-06-15,08:07:26,260966067651,260935355743,664.73,Transfer,Kitwe,M2123,D6979,No
T00058,2024-02-28,22:13:38,260932152506,260929819193,966.68,Deposit,Kitwe,M7032,D8951,No
T00059,2024-02-04,15:32:06,260983872962,260930789844,2426.81,Transfer,Lusaka,M9283,D2278,No
T00060,2024-04-12,21:35:26,260940083636,260995506112,3785.87,Deposit,Ndola,M1939,D5643,No
T00061,2024-01-17,04:39:54,260962931647,260968545749,3909.83,Withdrawal,Ndola,M3228,D2308,No
T00062,2024-04-22,05:14:04,260944299112,260938396157,1830.61,Deposit,Ndola,M3778,D3446,No
T00063,2024-05-05,13:22:11,260922028566,260997156087,3982.83,Withdrawal,Kitwe,M7623,D4828,No
T00064,2024-03-06,21:28:35,260956207697,260960510679,1567.09,Deposit,Ndola,M5470,D4966,No
T00065,2024-01-05,03:14:56,260976132574,260935958306,1969.28,Transfer,Ndola,M3834,D4368,No
T00066,2024-06-10,07:20:49,260991996053,260933052897,4780.55,Transfer,Livingstone,M5465,D1608,No
T00067,2024-04-23,09:50:39,260927002527,260917581639,3622.75,Transfer,Ndola,M3976,D9733,No
T00068,2024-04-01,11:03:57,260993583231,260928919462,4948.01,Transfer,Lusaka,M2092,D3813,No
T00069,2024-03-26,17:13:57,260991965548,260996670021,3649.77,Withdrawal,Ndola,M2098,D2510,No
T00070,2024-04-27,15:21:35,260914626314,260998399644,2341.24,Deposit,Lusaka,M2884,D4246,No
T00071,2024-07-16,04:12:02,260928046833,260985954119,2307.41,Transfer,Livingstone,M7119,D2889,No
T00072,2024-05-27,16:43:06,260930346973,260930818011,3408.78,Withdrawal,Livingstone,M6256,D3542,No
T00073,2024-05-05,08:31:31,260963198802,260978436957,641.92,Withdrawal,Kitwe,M6150,D9295,No
T00074,2024-01-25,11:29:30,260940025074,260952641029,1704.21,Transfer,Ndola,M7383,D8394,No
T00075,2024-01-26,08:29:58,260966885132,260952660784,3392.89,Transfer,Ndola,M2109,D1487,No
T00076,2024-06-06,01:13:38,260941176125,260913052406,824.91,Transfer,Lusaka,M7287,D9452,No
T00077,2024-01-09,23:57:26,260962259633,260954562718,4992.18,Deposit,Lusaka,M4498,D8686,No
T00078,2024-01-20,12:38:40,260925944105,260943073469,1914.16,Deposit,Ndola,M9825,D8924,No
T00079,2024-05-16,23:58:08,260945124850,260962585467,3685.03,Withdrawal,Lusaka,M3367,D5883,No
T00080,2024-05-23,14:14:19,260949753924,260967728551,2082.82,Withdrawal,Lusaka,M9980,D9909,No
T00081,2024-06-06,11:52:17,260989417569,260915086717,1381.79,Deposit,Ndola,M3337,D1103,No
T00082,2024-07-15,19:17:22,260941320379,260984172578,3796.12,Transfer,Ndola,M7204,D9125,No
T00083,2024-03-14,03:02:15,260933540215,260930450615,3397.18,Deposit,Livingstone,M8270,D6782,No
T00084,2024-07-19,13:48:11,260995137850,260939962829,44.28,Withdrawal,Lusaka,M8217,D8165,No
T00085,2024-02-05,16:00:59,260961043765,260911461309,4127.24,Transfer,Livingstone,M4572,D2014,No
T00086,2024-04-30,00:00:45,260950290572,260952927537,2759.85,Deposit,Livingstone,M5081,D3438,No
T00087,2024-07-16,12:53:07,260919771677,260936539786,3406.88,Deposit,Lusaka,M2023,D8925,No
T00088,2024-01-21,02:59:05,260971655648,260970285714,709.44,Transfer,Lusaka,M5796,D3670,No
T00089,2024-02-24,21:20:22,260952611592,260956376415,1374.47,Withdrawal,Livingstone,M7297,D5527,No
T00090,2024-07-06,13:42:36,260948949187,260982335604,804.17,Withdrawal,Kitwe,M6299,D3225,No
T00091,2024-01-10,06:46:54,260937942018,260994900509,4398.39,Transfer,Kitwe,M2707,D2599,No
T00092,2024-05-16,20:16:45,260966487800,260997287418,676.26,Transfer,Lusaka,M7103,D2368,No
T00093,2024-04-05,16:17:52,260973662329,260952419364,1206.82,Deposit,Livingstone,M3559,D4152,No
T00094,2024-07-10,17:04:41,260930671557,260958570902,3960.21,Withdrawal,Kitwe,M8497,D5142,No
T00095,2024-03-08,09:23:24,260918691454,260922506920,3115.14,Transfer,Livingstone,M9462,D6912,No
T00096,2024-07-16,06:58:03,260966513605,260971925667,1022.87,Transfer,Ndola,M7080,D3288,No
T00097,2024-01-17,15:40:19,260956382155,260946377539,1281.8,Withdrawal,Livingstone,M3047,D2086,No
T00098,2024-02-29,07:21:12,260980900368,260992013688,2374.68,Deposit,Livingstone,M8531,D8977,No
T00099,2024-03-18,22:24:12,260960311227,260947529450,1397.15,Deposit,Kitwe,M8111,D5255,No
T00100,2024-05-19,10:09:46,260993182056,260988371455,3259.17,Transfer,Livingstone,M7978,D5741,No
